coh,mean_ADM,mean_ANC,var_ADM,var_ANC
ACB,0.0769987,0.1219,0.00645167241611579,0.00817283157894737
ASW,0.0982437692307692,0.181307692307692,0.0103011501806923,0.0136020641025641
CLM,0.0793544285714286,0.0945142857142857,0.00773500547619328,0.00919272773109244
MXL,0.01976353125,0.06584375,0.000272067643998992,0.00810136189516129
PEL,0.0258640571428571,0.0374285714285714,0.00213578904711429,0.00211578151260504
PUR,0.0599841714285714,0.135028571428571,0.00642560832155798,0.0114909697478992
