Population,name_of_P1,name_of_P2,R,CIL,CIU,N,R_type
ACB,P1.anc.YRI.2way.rand.17,P2.anc.YRI.2way.rand.17,-0.221629052345293,-0.604830776870566,0.244911542373537,20,pearson
ACB,P1.anc.YRI.2way.rand.18,P2.anc.YRI.2way.rand.18,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.18,P2.anc.YRI.2way.rand.18,-0.196080916748368,-0.587614462153816,0.269855165943328,20,pearson
ACB,P1.anc.YRI.2way.rand.19,P2.anc.YRI.2way.rand.19,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.19,P2.anc.YRI.2way.rand.19,-0.219167574633106,-0.603187490265964,0.247341966577043,20,pearson
ACB,P1.anc.YRI.2way.rand.20,P2.anc.YRI.2way.rand.20,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.20,P2.anc.YRI.2way.rand.20,-0.221779610688159,-0.604931184072286,0.244762692913469,20,pearson
ACB,P1.anc.YRI.2way.rand.21,P2.anc.YRI.2way.rand.21,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.21,P2.anc.YRI.2way.rand.21,-0.228134323555031,-0.609158054276046,0.238459991314342,20,pearson
ACB,P1.anc.YRI.2way.rand.22,P2.anc.YRI.2way.rand.22,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.22,P2.anc.YRI.2way.rand.22,-0.220816595349981,-0.604288739800865,0.245714398362856,20,pearson
ACB,P1.anc.YRI.2way.rand.23,P2.anc.YRI.2way.rand.23,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.23,P2.anc.YRI.2way.rand.23,-0.266454140499189,-0.634195932358268,0.199602013388313,20,pearson
ACB,P1.anc.YRI.2way.rand.24,P2.anc.YRI.2way.rand.24,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.24,P2.anc.YRI.2way.rand.24,-0.224969112445432,-0.607055400199942,0.241604216954684,20,pearson
ACB,P1.anc.YRI.2way.rand.25,P2.anc.YRI.2way.rand.25,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.25,P2.anc.YRI.2way.rand.25,-0.229164489750206,-0.609841241562816,0.237434540885056,20,pearson
ACB,P1.anc.YRI.2way.rand.26,P2.anc.YRI.2way.rand.26,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.26,P2.anc.YRI.2way.rand.26,-0.197761464307926,-0.588757944053996,0.268233374811451,20,pearson
ACB,P1.anc.YRI.2way.rand.27,P2.anc.YRI.2way.rand.27,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.27,P2.anc.YRI.2way.rand.27,-0.15550969584866,-0.559525985459905,0.308221758763951,20,pearson
ACB,P1.anc.YRI.2way.rand.28,P2.anc.YRI.2way.rand.28,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.28,P2.anc.YRI.2way.rand.28,-0.232583719082658,-0.612104763522663,0.23402349332819,20,pearson
ACB,P1.anc.YRI.2way.rand.29,P2.anc.YRI.2way.rand.29,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.29,P2.anc.YRI.2way.rand.29,-0.222232008268981,-0.60523281425388,0.244315297827261,20,pearson
ACB,P1.anc.YRI.2way.rand.30,P2.anc.YRI.2way.rand.30,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.30,P2.anc.YRI.2way.rand.30,-0.20615229355175,-0.594443932730854,0.260096199883211,20,pearson
ACB,P1.anc.YRI.2way.rand.31,P2.anc.YRI.2way.rand.31,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.31,P2.anc.YRI.2way.rand.31,-0.176730042882434,-0.57433404502279,0.28834093729573,20,pearson
ACB,P1.anc.YRI.2way.rand.32,P2.anc.YRI.2way.rand.32,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.32,P2.anc.YRI.2way.rand.32,-0.290791062804747,-0.649706859087236,0.174137984788058,20,pearson
ACB,P1.anc.YRI.2way.rand.33,P2.anc.YRI.2way.rand.33,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.33,P2.anc.YRI.2way.rand.33,-0.162876052997037,-0.564695799069673,0.301365996263347,20,pearson
ACB,P1.anc.YRI.2way.rand.34,P2.anc.YRI.2way.rand.34,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.34,P2.anc.YRI.2way.rand.34,-0.188794646364147,-0.582638566371325,0.276856244250864,20,pearson
ACB,P1.anc.YRI.2way.rand.35,P2.anc.YRI.2way.rand.35,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.35,P2.anc.YRI.2way.rand.35,-0.210514826709113,-0.597384911668255,0.255839216898171,20,pearson
ACB,P1.anc.YRI.2way.rand.36,P2.anc.YRI.2way.rand.36,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.36,P2.anc.YRI.2way.rand.36,-0.233670742883121,-0.612823070280868,0.232936658781077,20,pearson
ACB,P1.anc.YRI.2way.rand.37,P2.anc.YRI.2way.rand.37,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.37,P2.anc.YRI.2way.rand.37,-0.273338796890963,-0.63861403936216,0.192461798365549,20,pearson
ACB,P1.anc.YRI.2way.rand.38,P2.anc.YRI.2way.rand.38,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.38,P2.anc.YRI.2way.rand.38,-0.219430460145312,-0.603363148707918,0.247082677275867,20,pearson
ACB,P1.anc.YRI.2way.rand.39,P2.anc.YRI.2way.rand.39,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.39,P2.anc.YRI.2way.rand.39,-0.212896627165824,-0.59898621044689,0.253507385402811,20,pearson
ACB,P1.anc.YRI.2way.rand.40,P2.anc.YRI.2way.rand.40,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.40,P2.anc.YRI.2way.rand.40,-0.224889764003718,-0.607002620089399,0.241682913633859,20,pearson
ACB,P1.anc.YRI.2way.rand.41,P2.anc.YRI.2way.rand.41,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.41,P2.anc.YRI.2way.rand.41,-0.216021877089563,-0.601082661140982,0.250439457101707,20,pearson
ACB,P1.anc.YRI.2way.rand.42,P2.anc.YRI.2way.rand.42,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.42,P2.anc.YRI.2way.rand.42,-0.266946401472492,-0.634512631367846,0.199093117308343,20,pearson
ACB,P1.anc.YRI.2way.rand.43,P2.anc.YRI.2way.rand.43,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.43,P2.anc.YRI.2way.rand.43,-0.213235302158117,-0.599213653204984,0.253175374883407,20,pearson
ACB,P1.anc.YRI.2way.rand.44,P2.anc.YRI.2way.rand.44,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.44,P2.anc.YRI.2way.rand.44,-0.265671429604641,-0.63369211645087,0.200410657288697,20,pearson
ACB,P1.anc.YRI.2way.rand.45,P2.anc.YRI.2way.rand.45,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.45,P2.anc.YRI.2way.rand.45,-0.237017034848954,-0.615030378148075,0.229583616581041,20,pearson
ACB,P1.anc.YRI.2way.rand.46,P2.anc.YRI.2way.rand.46,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.46,P2.anc.YRI.2way.rand.46,-0.224003998205771,-0.606413207348632,0.242560987341964,20,pearson
ACB,P1.anc.YRI.2way.rand.47,P2.anc.YRI.2way.rand.47,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.47,P2.anc.YRI.2way.rand.47,-0.276836806618488,-0.640849637340228,0.188814947021947,20,pearson
