coh,id,adm.NAM,adm.IBS,adm.YRI,p1,p2,sex,rfm.NAM,rfm.IBS,rfm.YRI,P1.anc.NAM,P1.anc.IBS,P1.anc.YRI,P2.anc.NAM,P2.anc.IBS,P2.anc.YRI,P1.anc.NonYRI.2way,P1.anc.YRI.2way,P2.anc.NonYRI.2way,P2.anc.YRI.2way,adm.NonYRI,P1.sex,P2.sex,P1.adm.NAM,P2.adm.NAM,P1.adm.IBS,P2.adm.IBS,P1.adm.YRI,P2.adm.YRI,P1.adm.NonYRI,P2.adm.NonYRI,P1.rfm.NAM,P2.rfm.NAM,P1.rfm.IBS,P2.rfm.IBS,P1.rfm.YRI,P2.rfm.YRI,Delta.anc.NAM,Delta.anc.IBS,Delta.anc.YRI,Delta.anc.NonYRI.2way,Delta.anc.YRI.2way,Delta.sex,Delta.adm.NAM,Delta.adm.IBS,Delta.adm.YRI,Delta.adm.NonYRI,Delta.rfm.NAM,Delta.rfm.IBS,Delta.rfm.YRI,P1.anc.YRI.2way.rand.1,P2.anc.YRI.2way.rand.1,P1.anc.YRI.2way.rand.2,P2.anc.YRI.2way.rand.2,P1.anc.YRI.2way.rand.3,P2.anc.YRI.2way.rand.3,P1.anc.YRI.2way.rand.4,P2.anc.YRI.2way.rand.4,P1.anc.YRI.2way.rand.5,P2.anc.YRI.2way.rand.5,P1.anc.YRI.2way.rand.6,P2.anc.YRI.2way.rand.6,P1.anc.YRI.2way.rand.7,P2.anc.YRI.2way.rand.7,P1.anc.YRI.2way.rand.8,P2.anc.YRI.2way.rand.8,P1.anc.YRI.2way.rand.9,P2.anc.YRI.2way.rand.9,P1.anc.YRI.2way.rand.10,P2.anc.YRI.2way.rand.10,P1.anc.YRI.2way.rand.11,P2.anc.YRI.2way.rand.11,P1.anc.YRI.2way.rand.12,P2.anc.YRI.2way.rand.12,P1.anc.YRI.2way.rand.13,P2.anc.YRI.2way.rand.13,P1.anc.YRI.2way.rand.14,P2.anc.YRI.2way.rand.14,P1.anc.YRI.2way.rand.15,P2.anc.YRI.2way.rand.15,P1.anc.YRI.2way.rand.16,P2.anc.YRI.2way.rand.16,P1.anc.YRI.2way.rand.17,P2.anc.YRI.2way.rand.17,P1.anc.YRI.2way.rand.18,P2.anc.YRI.2way.rand.18,P1.anc.YRI.2way.rand.19,P2.anc.YRI.2way.rand.19,P1.anc.YRI.2way.rand.20,P2.anc.YRI.2way.rand.20,P1.anc.YRI.2way.rand.21,P2.anc.YRI.2way.rand.21,P1.anc.YRI.2way.rand.22,P2.anc.YRI.2way.rand.22,P1.anc.YRI.2way.rand.23,P2.anc.YRI.2way.rand.23,P1.anc.YRI.2way.rand.24,P2.anc.YRI.2way.rand.24,P1.anc.YRI.2way.rand.25,P2.anc.YRI.2way.rand.25,P1.anc.YRI.2way.rand.26,P2.anc.YRI.2way.rand.26,P1.anc.YRI.2way.rand.27,P2.anc.YRI.2way.rand.27,P1.anc.YRI.2way.rand.28,P2.anc.YRI.2way.rand.28,P1.anc.YRI.2way.rand.29,P2.anc.YRI.2way.rand.29,P1.anc.YRI.2way.rand.30,P2.anc.YRI.2way.rand.30,P1.anc.YRI.2way.rand.31,P2.anc.YRI.2way.rand.31,P1.anc.YRI.2way.rand.32,P2.anc.YRI.2way.rand.32,P1.anc.YRI.2way.rand.33,P2.anc.YRI.2way.rand.33,P1.anc.YRI.2way.rand.34,P2.anc.YRI.2way.rand.34,P1.anc.YRI.2way.rand.35,P2.anc.YRI.2way.rand.35,P1.anc.YRI.2way.rand.36,P2.anc.YRI.2way.rand.36,P1.anc.YRI.2way.rand.37,P2.anc.YRI.2way.rand.37,P1.anc.YRI.2way.rand.38,P2.anc.YRI.2way.rand.38,P1.anc.YRI.2way.rand.39,P2.anc.YRI.2way.rand.39,P1.anc.YRI.2way.rand.40,P2.anc.YRI.2way.rand.40,P1.anc.YRI.2way.rand.41,P2.anc.YRI.2way.rand.41,P1.anc.YRI.2way.rand.42,P2.anc.YRI.2way.rand.42,P1.anc.YRI.2way.rand.43,P2.anc.YRI.2way.rand.43,P1.anc.YRI.2way.rand.44,P2.anc.YRI.2way.rand.44,P1.anc.YRI.2way.rand.45,P2.anc.YRI.2way.rand.45,P1.anc.YRI.2way.rand.46,P2.anc.YRI.2way.rand.46,P1.anc.YRI.2way.rand.47,P2.anc.YRI.2way.rand.47,P1.anc.YRI.2way.rand.48,P2.anc.YRI.2way.rand.48,P1.anc.YRI.2way.rand.49,P2.anc.YRI.2way.rand.49,P1.anc.YRI.2way.rand.50,P2.anc.YRI.2way.rand.50,P1.anc.YRI.2way.rand.51,P2.anc.YRI.2way.rand.51,P1.anc.YRI.2way.rand.52,P2.anc.YRI.2way.rand.52,P1.anc.YRI.2way.rand.53,P2.anc.YRI.2way.rand.53,P1.anc.YRI.2way.rand.54,P2.anc.YRI.2way.rand.54,P1.anc.YRI.2way.rand.55,P2.anc.YRI.2way.rand.55,P1.anc.YRI.2way.rand.56,P2.anc.YRI.2way.rand.56,P1.anc.YRI.2way.rand.57,P2.anc.YRI.2way.rand.57,P1.anc.YRI.2way.rand.58,P2.anc.YRI.2way.rand.58,P1.anc.YRI.2way.rand.59,P2.anc.YRI.2way.rand.59,P1.anc.YRI.2way.rand.60,P2.anc.YRI.2way.rand.60,P1.anc.YRI.2way.rand.61,P2.anc.YRI.2way.rand.61,P1.anc.YRI.2way.rand.62,P2.anc.YRI.2way.rand.62,P1.anc.YRI.2way.rand.63,P2.anc.YRI.2way.rand.63,P1.anc.YRI.2way.rand.64,P2.anc.YRI.2way.rand.64,P1.anc.YRI.2way.rand.65,P2.anc.YRI.2way.rand.65,P1.anc.YRI.2way.rand.66,P2.anc.YRI.2way.rand.66,P1.anc.YRI.2way.rand.67,P2.anc.YRI.2way.rand.67,P1.anc.YRI.2way.rand.68,P2.anc.YRI.2way.rand.68,P1.anc.YRI.2way.rand.69,P2.anc.YRI.2way.rand.69,P1.anc.YRI.2way.rand.70,P2.anc.YRI.2way.rand.70,P1.anc.YRI.2way.rand.71,P2.anc.YRI.2way.rand.71,P1.anc.YRI.2way.rand.72,P2.anc.YRI.2way.rand.72,P1.anc.YRI.2way.rand.73,P2.anc.YRI.2way.rand.73,P1.anc.YRI.2way.rand.74,P2.anc.YRI.2way.rand.74,P1.anc.YRI.2way.rand.75,P2.anc.YRI.2way.rand.75,P1.anc.YRI.2way.rand.76,P2.anc.YRI.2way.rand.76,P1.anc.YRI.2way.rand.77,P2.anc.YRI.2way.rand.77,P1.anc.YRI.2way.rand.78,P2.anc.YRI.2way.rand.78,P1.anc.YRI.2way.rand.79,P2.anc.YRI.2way.rand.79,P1.anc.YRI.2way.rand.80,P2.anc.YRI.2way.rand.80,P1.anc.YRI.2way.rand.81,P2.anc.YRI.2way.rand.81,P1.anc.YRI.2way.rand.82,P2.anc.YRI.2way.rand.82,P1.anc.YRI.2way.rand.83,P2.anc.YRI.2way.rand.83,P1.anc.YRI.2way.rand.84,P2.anc.YRI.2way.rand.84,P1.anc.YRI.2way.rand.85,P2.anc.YRI.2way.rand.85,P1.anc.YRI.2way.rand.86,P2.anc.YRI.2way.rand.86,P1.anc.YRI.2way.rand.87,P2.anc.YRI.2way.rand.87,P1.anc.YRI.2way.rand.88,P2.anc.YRI.2way.rand.88,P1.anc.YRI.2way.rand.89,P2.anc.YRI.2way.rand.89,P1.anc.YRI.2way.rand.90,P2.anc.YRI.2way.rand.90,P1.anc.YRI.2way.rand.91,P2.anc.YRI.2way.rand.91,P1.anc.YRI.2way.rand.92,P2.anc.YRI.2way.rand.92,P1.anc.YRI.2way.rand.93,P2.anc.YRI.2way.rand.93,P1.anc.YRI.2way.rand.94,P2.anc.YRI.2way.rand.94,P1.anc.YRI.2way.rand.95,P2.anc.YRI.2way.rand.95,P1.anc.YRI.2way.rand.96,P2.anc.YRI.2way.rand.96,P1.anc.YRI.2way.rand.97,P2.anc.YRI.2way.rand.97,P1.anc.YRI.2way.rand.98,P2.anc.YRI.2way.rand.98,P1.anc.YRI.2way.rand.99,P2.anc.YRI.2way.rand.99,P1.anc.YRI.2way.rand.100,P2.anc.YRI.2way.rand.100
ACB,HG01881,0.021796,0.220233,0.757971,HG01879,HG01880,2,0.0107102070169694,0.294222019677505,0.695067773305526,0.008,0.325,0.667,0.013,0.178,0.809,0.185,0.815,0.411,0.588,0.242029,1,2,1e-05,0.065706,0.152357,0.312022,0.847633,0.622272,0.152367,0.377728,0.00154482014991217,0.0216800283459724,0.161469455769181,0.425069854307091,0.836985724080907,0.553250117346936,0.005,0.147,0.142,0.226,0.227,1,0.065696,0.159665,0.225361,0.225361,0.0201352081960602,0.26360039853791,0.283735606733971,0.588,0.815,0.815,0.588,0.815,0.588,0.588,0.815,0.588,0.815,0.815,0.588,0.588,0.815,0.588,0.815,0.815,0.588,0.588,0.815,0.815,0.588,0.588,0.815,0.815,0.588,0.588,0.815,0.588,0.815,0.815,0.588,0.815,0.588,0.588,0.815,0.588,0.815,0.815,0.588,0.588,0.815,0.588,0.815,0.588,0.815,0.815,0.588,0.815,0.588,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.815,0.588,0.815,0.588,0.815,0.588,0.588,0.815,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.588,0.815,0.815,0.588,0.815,0.588,0.588,0.815,0.815,0.588,0.588,0.815,0.588,0.815,0.588,0.815,0.815,0.588,0.815,0.588,0.815,0.588,0.588,0.815,0.588,0.815,0.815,0.588,0.815,0.588,0.588,0.815,0.588,0.815,0.815,0.588,0.588,0.815,0.815,0.588,0.815,0.588,0.815,0.588,0.588,0.815,0.815,0.588,0.815,0.588,0.815,0.588,0.588,0.815,0.815,0.588,0.815,0.588,0.588,0.815,0.588,0.815,0.588,0.815,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.815,0.588,0.588,0.815,0.815,0.588,0.588,0.815,0.815,0.588,0.815,0.588,0.588,0.815,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.815,0.588,0.588,0.815,0.815,0.588,0.588,0.815,0.588,0.815,0.815,0.588
ACB,HG01884,1e-05,0.059809,0.940181,HG01885,HG01956,2,0.00252732674358951,0.0842594740387062,0.913213199217704,0,0.086,0.914,0.002,0.114,0.884,0.044,0.956,0.152,0.848,0.059819,1,2,1e-05,1e-05,0.047068,0.070144,0.952922,0.929846,0.047078,0.070154,0.00127034998366091,0.00229400923025039,0.0625437762270996,0.08043502594284,0.93618587378924,0.91727096482691,0.002,0.028,0.03,0.108,0.108,1,0,0.023076,0.0230760000000001,0.023076,0.00102365924658948,0.0178912497157404,0.0189149089623301,0.848,0.956,0.956,0.848,0.848,0.956,0.848,0.956,0.956,0.848,0.956,0.848,0.848,0.956,0.956,0.848,0.956,0.848,0.956,0.848,0.848,0.956,0.848,0.956,0.956,0.848,0.848,0.956,0.848,0.956,0.956,0.848,0.956,0.848,0.848,0.956,0.848,0.956,0.956,0.848,0.956,0.848,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.956,0.848,0.956,0.848,0.848,0.956,0.848,0.956,0.848,0.956,0.956,0.848,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.956,0.848,0.956,0.848,0.956,0.848,0.848,0.956,0.848,0.956,0.956,0.848,0.848,0.956,0.956,0.848,0.848,0.956,0.956,0.848,0.848,0.956,0.956,0.848,0.956,0.848,0.956,0.848,0.848,0.956,0.956,0.848,0.956,0.848,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.956,0.848,0.956,0.848,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.956,0.848,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.956,0.848,0.848,0.956,0.848,0.956,0.956,0.848,0.848,0.956,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.848,0.956,0.956,0.848,0.956,0.848,0.848,0.956,0.956,0.848,0.848,0.956,0.956,0.848,0.848,0.956,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.956,0.848,0.848,0.956,0.956,0.848,0.956,0.848,0.848,0.956,0.848,0.956,0.956,0.848,0.848,0.956,0.848,0.956,0.956,0.848
ACB,HG01887,1e-05,0.088252,0.911738,HG02014,HG01886,1,0.000550586552544276,0.110198853227454,0.889250560220001,0,0.16,0.84,0,0.063,0.937,0.062,0.938,0.167,0.833,0.088262,1,2,1e-05,1e-05,0.119536,0.109114,0.880454,0.890876,0.119546,0.109124,0.000508597260986341,0.000693558128648431,0.134716829105127,0.119050584622223,0.864774573633887,0.880255857249128,0,0.097,0.0970000000000001,0.105,0.105,1,0,0.010422,0.010422,0.010422,0.00018496086766209,0.015666244482904,0.015481283615241,0.938,0.833,0.938,0.833,0.833,0.938,0.938,0.833,0.833,0.938,0.833,0.938,0.833,0.938,0.938,0.833,0.833,0.938,0.938,0.833,0.833,0.938,0.938,0.833,0.938,0.833,0.938,0.833,0.833,0.938,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.833,0.938,0.833,0.938,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.833,0.938,0.833,0.938,0.938,0.833,0.833,0.938,0.938,0.833,0.833,0.938,0.938,0.833,0.833,0.938,0.833,0.938,0.938,0.833,0.833,0.938,0.938,0.833,0.938,0.833,0.833,0.938,0.938,0.833,0.833,0.938,0.938,0.833,0.938,0.833,0.833,0.938,0.833,0.938,0.833,0.938,0.938,0.833,0.833,0.938,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.833,0.938,0.938,0.833,0.938,0.833,0.833,0.938,0.833,0.938,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.833,0.938,0.833,0.938,0.938,0.833,0.938,0.833,0.938,0.833,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.938,0.833,0.833,0.938,0.833,0.938,0.938,0.833,0.833,0.938,0.938,0.833,0.833,0.938,0.938,0.833,0.833,0.938,0.833,0.938,0.938,0.833,0.938,0.833,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.833,0.938,0.938,0.833,0.938,0.833,0.833,0.938
ACB,HG01888,1e-05,0.077066,0.922924,HG01882,HG01883,1,0.00341716047654727,0.0963457755778594,0.900237063945593,0.001,0.111,0.889,0.003,0.064,0.932,0.072,0.928,0.127,0.873,0.077076,1,2,1e-05,1e-05,0.020652,0.127699,0.979338,0.872291,0.020662,0.127709,0.00163178268486193,0.00300835070891767,0.0391981582306631,0.137134079124082,0.959170059084475,0.859857570167,0.002,0.047,0.043,0.055,0.055,1,0,0.107047,0.107047,0.107047,0.00137656802405574,0.0979359208934189,0.0993124889174749,0.928,0.873,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.928,0.873,0.928,0.873,0.873,0.928,0.928,0.873,0.873,0.928,0.873,0.928,0.928,0.873,0.873,0.928,0.873,0.928,0.928,0.873,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.873,0.928,0.873,0.928,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.928,0.873,0.928,0.873,0.873,0.928,0.928,0.873,0.928,0.873,0.928,0.873,0.873,0.928,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.873,0.928,0.873,0.928,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.928,0.873,0.873,0.928,0.928,0.873,0.928,0.873,0.873,0.928,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.928,0.873,0.928,0.873,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.873,0.928,0.873,0.928,0.873,0.928,0.873,0.928,0.928,0.873,0.928,0.873,0.873,0.928,0.928,0.873,0.873,0.928,0.873,0.928,0.928,0.873,0.873,0.928,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873,0.873,0.928,0.928,0.873
ACB,HG01891,1e-05,0.062341,0.937649,HG01890,HG01889,2,0.00345431310669145,0.0799576719730353,0.916588014920273,0,0.134,0.865,0.002,0.025,0.973,0.096,0.904,0.062,0.938,0.062351,1,2,1e-05,1e-05,0.119534,0.013127,0.880456,0.986863,0.119544,0.013137,0.003663695456424,0.000533230750849805,0.132649193109448,0.0323526793661654,0.863687111434128,0.967114089882985,0.002,0.109,0.108,0.034,0.0339999999999999,1,0,0.106407,0.106407,0.106407,0.00313046470557419,0.100296513743283,0.103426978448857,0.904,0.938,0.938,0.904,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.938,0.904,0.938,0.904,0.904,0.938,0.904,0.938,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.938,0.904,0.938,0.904,0.938,0.904,0.938,0.904,0.904,0.938,0.938,0.904,0.938,0.904,0.904,0.938,0.904,0.938,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.938,0.904,0.904,0.938,0.938,0.904,0.938,0.904,0.904,0.938,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.904,0.938,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.938,0.904,0.938,0.904,0.904,0.938,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.904,0.938,0.904,0.938,0.938,0.904,0.938,0.904,0.938,0.904,0.904,0.938,0.938,0.904,0.938,0.904,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.938,0.904,0.938,0.904,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.904,0.938,0.904,0.938,0.904,0.938,0.938,0.904,0.904,0.938,0.904,0.938,0.904,0.938,0.938,0.904,0.938,0.904,0.904,0.938,0.938,0.904,0.938,0.904,0.904,0.938,0.938,0.904
ACB,HG01895,1e-05,0.070445,0.929545,HG01912,HG01894,1,0.000348317945407792,0.0906888668714712,0.908962815183121,0,0.077,0.922,0.001,0.118,0.882,0.059,0.941,0.164,0.836,0.070455,1,2,1e-05,1e-05,0.086871,0.070974,0.913119,0.929016,0.086881,0.070984,0.000734341414498878,0.000803154409090007,0.106320508870027,0.0794960256267928,0.892945149715475,0.919700819964117,0.001,0.041,0.04,0.105,0.105,1,0,0.015897,0.0158969999999999,0.015897,6.8812994591129e-05,0.0268244832432342,0.026755670248642,0.836,0.941,0.941,0.836,0.941,0.836,0.836,0.941,0.836,0.941,0.941,0.836,0.941,0.836,0.836,0.941,0.836,0.941,0.941,0.836,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.941,0.836,0.941,0.836,0.836,0.941,0.836,0.941,0.941,0.836,0.941,0.836,0.941,0.836,0.836,0.941,0.836,0.941,0.941,0.836,0.836,0.941,0.836,0.941,0.941,0.836,0.941,0.836,0.836,0.941,0.836,0.941,0.836,0.941,0.941,0.836,0.836,0.941,0.941,0.836,0.836,0.941,0.941,0.836,0.941,0.836,0.836,0.941,0.836,0.941,0.836,0.941,0.941,0.836,0.836,0.941,0.941,0.836,0.836,0.941,0.941,0.836,0.836,0.941,0.836,0.941,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.941,0.836,0.836,0.941,0.941,0.836,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.941,0.836,0.836,0.941,0.836,0.941,0.941,0.836,0.941,0.836,0.941,0.836,0.836,0.941,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.836,0.941,0.941,0.836,0.941,0.836,0.836,0.941,0.941,0.836,0.836,0.941,0.836,0.941,0.941,0.836,0.941,0.836,0.941,0.836,0.836,0.941,0.941,0.836,0.941,0.836,0.941,0.836,0.836,0.941,0.836,0.941,0.836,0.941,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.941,0.836,0.836,0.941,0.941,0.836
ACB,HG01897,1e-05,1e-05,0.99998,HG02013,HG01896,1,0.00118352006483692,0.0472000691147541,0.951616410820409,0.002,0.076,0.923,0.001,0.018,0.981,0.032,0.968,0.075,0.925,2e-05,1,2,1e-05,1e-05,0.004366,1e-05,0.995624,0.99998,0.004376,2e-05,0.00061580484909009,0.00236095758871076,0.0329292278839377,0.0316272826868393,0.966454967266972,0.96601175972445,0.001,0.058,0.0579999999999999,0.043,0.0429999999999999,1,0,0.004356,0.00435600000000003,0.004356,0.00174515273962067,0.0013019451970984,0.000443207542522028,0.925,0.968,0.968,0.925,0.968,0.925,0.968,0.925,0.968,0.925,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.968,0.925,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.925,0.968,0.968,0.925,0.968,0.925,0.925,0.968,0.925,0.968,0.925,0.968,0.925,0.968,0.968,0.925,0.925,0.968,0.968,0.925,0.968,0.925,0.968,0.925,0.925,0.968,0.968,0.925,0.968,0.925,0.968,0.925,0.968,0.925,0.925,0.968,0.925,0.968,0.925,0.968,0.968,0.925,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.968,0.925,0.968,0.925,0.968,0.925,0.925,0.968,0.925,0.968,0.925,0.968,0.925,0.968,0.925,0.968,0.925,0.968,0.968,0.925,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.925,0.968,0.925,0.968,0.968,0.925,0.968,0.925,0.968,0.925,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.925,0.968,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.968,0.925,0.968,0.925,0.968,0.925,0.925,0.968,0.968,0.925,0.968,0.925,0.968,0.925,0.925,0.968,0.925,0.968,0.925,0.968,0.925,0.968,0.968,0.925,0.968,0.925,0.968,0.925,0.925,0.968,0.968,0.925,0.925,0.968,0.925,0.968,0.925,0.968,0.968,0.925,0.925,0.968,0.968,0.925,0.968,0.925,0.925,0.968,0.968,0.925,0.968,0.925,0.925,0.968
ACB,HG01916,1e-05,0.087576,0.912414,HG01914,HG01915,2,0.00169828370865914,0.107642366600919,0.890659349690422,0,0.069,0.931,0.004,0.156,0.84,0.058,0.942,0.18,0.82,0.087586,1,2,1e-05,1e-05,0.144619,0.068161,0.855371,0.931829,0.144629,0.068171,0.00493143423746895,0.00238931572262197,0.156890652438343,0.078619587190587,0.838177913324188,0.918991097086791,0.004,0.087,0.0910000000000001,0.122,0.122,1,0,0.076458,0.076458,0.076458,0.00254211851484698,0.078271065247756,0.080813183762603,0.82,0.942,0.82,0.942,0.942,0.82,0.82,0.942,0.82,0.942,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.82,0.942,0.942,0.82,0.942,0.82,0.82,0.942,0.82,0.942,0.942,0.82,0.942,0.82,0.942,0.82,0.82,0.942,0.942,0.82,0.942,0.82,0.82,0.942,0.82,0.942,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.82,0.942,0.942,0.82,0.82,0.942,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.82,0.942,0.82,0.942,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.82,0.942,0.82,0.942,0.942,0.82,0.942,0.82,0.82,0.942,0.942,0.82,0.82,0.942,0.942,0.82,0.942,0.82,0.942,0.82,0.82,0.942,0.942,0.82,0.82,0.942,0.942,0.82,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.942,0.82,0.942,0.82,0.82,0.942,0.82,0.942,0.942,0.82,0.82,0.942,0.82,0.942,0.942,0.82,0.942,0.82,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.942,0.82,0.942,0.82,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.82,0.942,0.942,0.82,0.82,0.942,0.942,0.82,0.942,0.82,0.82,0.942,0.82,0.942,0.82,0.942
ACB,HG01959,1e-05,0.127504,0.872486,HG01986,HG01958,2,0.00369156388971509,0.143031246774447,0.853277189335838,0.001,0.097,0.903,0.005,0.179,0.816,0.187,0.813,0.095,0.905,0.127514,1,2,1e-05,1e-05,0.119338,0.128831,0.880652,0.871159,0.119348,0.128841,0.00236839370419778,0.00588003257886551,0.136890909033636,0.141330421998411,0.860740697262167,0.852789545422723,0.004,0.082,0.0870000000000001,0.092,0.0920000000000001,1,0,0.009493,0.00949299999999997,0.00949300000000002,0.00351163887466773,0.00443951296477502,0.00795115183944395,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.905,0.813,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.905,0.813,0.905,0.813,0.813,0.905,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.813,0.905,0.813,0.905,0.905,0.813,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.813,0.905,0.905,0.813,0.813,0.905,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.813,0.905,0.813,0.905,0.905,0.813,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.813,0.905,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.905,0.813,0.813,0.905,0.905,0.813,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.813,0.905,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.813,0.905,0.905,0.813,0.813,0.905,0.813,0.905,0.905,0.813,0.905,0.813,0.905,0.813,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.813,0.905,0.813,0.905,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905,0.813,0.905,0.905,0.813,0.905,0.813,0.813,0.905,0.813,0.905
