group,name_of_1,name_of_2,R,CIL,CIU,n,R_type
ACB,P1.anc.YRI.2way.rand.21,P2.anc.YRI.2way.rand.21,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.21,P2.anc.YRI.2way.rand.21,-0.218607540953809,-0.602813155039793,0.247894116434892,20,pearson
ACB,P1.anc.YRI.2way.rand.22,P2.anc.YRI.2way.rand.22,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.22,P2.anc.YRI.2way.rand.22,-0.196993810455854,-0.588235809404339,0.268974517286292,20,pearson
ACB,P1.anc.YRI.2way.rand.23,P2.anc.YRI.2way.rand.23,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.23,P2.anc.YRI.2way.rand.23,-0.184939302101256,-0.579993698857498,0.280540794049098,20,pearson
ACB,P1.anc.YRI.2way.rand.24,P2.anc.YRI.2way.rand.24,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.24,P2.anc.YRI.2way.rand.24,-0.195902135163311,-0.587492723085502,0.270027541415559,20,pearson
ACB,P1.anc.YRI.2way.rand.25,P2.anc.YRI.2way.rand.25,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.25,P2.anc.YRI.2way.rand.25,-0.171922485996681,-0.571001861647956,0.292880426035531,20,pearson
ACB,P1.anc.YRI.2way.rand.26,P2.anc.YRI.2way.rand.26,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.26,P2.anc.YRI.2way.rand.26,-0.211576700617334,-0.598099197175045,0.254800290512347,20,pearson
ACB,P1.anc.YRI.2way.rand.27,P2.anc.YRI.2way.rand.27,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.27,P2.anc.YRI.2way.rand.27,-0.23238434076226,-0.611972946059863,0.234222710450973,20,pearson
ACB,P1.anc.YRI.2way.rand.28,P2.anc.YRI.2way.rand.28,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.28,P2.anc.YRI.2way.rand.28,-0.253027700542328,-0.625510106133214,0.213385904769741,20,pearson
ACB,P1.anc.YRI.2way.rand.29,P2.anc.YRI.2way.rand.29,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.29,P2.anc.YRI.2way.rand.29,-0.16770505859833,-0.568067837280921,0.296845511706943,20,pearson
ACB,P1.anc.YRI.2way.rand.30,P2.anc.YRI.2way.rand.30,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.30,P2.anc.YRI.2way.rand.30,-0.249783466105977,-0.623397405765633,0.216688886655916,20,pearson
