Population,Type,Individual,Cluster,Ancestry
YRI,Reference,51,K3,0.99998
YRI,Reference,52,K1,1e-05
YRI,Reference,52,K2,1e-05
YRI,Reference,52,K3,0.99998
YRI,Reference,53,K1,1e-05
YRI,Reference,53,K2,1e-05
YRI,Reference,53,K3,0.99998
YRI,Reference,54,K1,1e-05
YRI,Reference,54,K2,1e-05
YRI,Reference,54,K3,0.99998
YRI,Reference,55,K1,1e-05
YRI,Reference,55,K2,1e-05
YRI,Reference,55,K3,0.99998
YRI,Reference,56,K1,1e-05
YRI,Reference,56,K2,1e-05
YRI,Reference,56,K3,0.99998
YRI,Reference,57,K1,1e-05
YRI,Reference,57,K2,1e-05
YRI,Reference,57,K3,0.99998
YRI,Reference,58,K1,1e-05
YRI,Reference,58,K2,1e-05
YRI,Reference,58,K3,0.99998
YRI,Reference,59,K1,1e-05
YRI,Reference,59,K2,1e-05
YRI,Reference,59,K3,0.99998
YRI,Reference,60,K1,1e-05
YRI,Reference,60,K2,1e-05
YRI,Reference,60,K3,0.99998
YRI,Reference,61,K1,1e-05
YRI,Reference,61,K2,1e-05
YRI,Reference,61,K3,0.99998
YRI,Reference,62,K1,1e-05
YRI,Reference,62,K2,1e-05
YRI,Reference,62,K3,0.99998
YRI,Reference,63,K1,1e-05
YRI,Reference,63,K2,1e-05
YRI,Reference,63,K3,0.99998
YRI,Reference,64,K1,1e-05
YRI,Reference,64,K2,1e-05
YRI,Reference,64,K3,0.99998
YRI,Reference,65,K1,1e-05
YRI,Reference,65,K2,1e-05
YRI,Reference,65,K3,0.99998
YRI,Reference,66,K1,1e-05
YRI,Reference,66,K2,1e-05
YRI,Reference,66,K3,0.99998
YRI,Reference,67,K1,1e-05
YRI,Reference,67,K2,1e-05
YRI,Reference,67,K3,0.99998
YRI,Reference,68,K1,1e-05
YRI,Reference,68,K2,1e-05
YRI,Reference,68,K3,0.99998
YRI,Reference,69,K1,1e-05
YRI,Reference,69,K2,1e-05
YRI,Reference,69,K3,0.99998
YRI,Reference,70,K1,1e-05
YRI,Reference,70,K2,1e-05
YRI,Reference,70,K3,0.99998
YRI,Reference,71,K1,1e-05
YRI,Reference,71,K2,1e-05
YRI,Reference,71,K3,0.99998
YRI,Reference,72,K1,1e-05
YRI,Reference,72,K2,1e-05
YRI,Reference,72,K3,0.99998
YRI,Reference,73,K1,1e-05
YRI,Reference,73,K2,1e-05
YRI,Reference,73,K3,0.99998
YRI,Reference,74,K1,1e-05
YRI,Reference,74,K2,1e-05
YRI,Reference,74,K3,0.99998
YRI,Reference,75,K1,1e-05
YRI,Reference,75,K2,1e-05
YRI,Reference,75,K3,0.99998
YRI,Reference,76,K1,1e-05
YRI,Reference,76,K2,1e-05
YRI,Reference,76,K3,0.99998
YRI,Reference,77,K1,1e-05
YRI,Reference,77,K2,1e-05
YRI,Reference,77,K3,0.99998
YRI,Reference,78,K1,1e-05
YRI,Reference,78,K2,1e-05
YRI,Reference,78,K3,0.99998
YRI,Reference,79,K1,1e-05
YRI,Reference,79,K2,1e-05
YRI,Reference,79,K3,0.99998
YRI,Reference,80,K1,1e-05
YRI,Reference,80,K2,1e-05
YRI,Reference,80,K3,0.99998
YRI,Reference,81,K1,1e-05
YRI,Reference,81,K2,1e-05
YRI,Reference,81,K3,0.99998
YRI,Reference,82,K1,1e-05
YRI,Reference,82,K2,1e-05
YRI,Reference,82,K3,0.99998
YRI,Reference,83,K1,1e-05
YRI,Reference,83,K2,1e-05
YRI,Reference,83,K3,0.99998
YRI,Reference,84,K1,1e-05
YRI,Reference,84,K2,1e-05
YRI,Reference,84,K3,0.99998
YRI,Reference,85,K1,1e-05
YRI,Reference,85,K2,1e-05
YRI,Reference,85,K3,0.99998
YRI,Reference,86,K1,1e-05
YRI,Reference,86,K2,1e-05
YRI,Reference,86,K3,0.99998
YRI,Reference,87,K1,1e-05
YRI,Reference,87,K2,1e-05
YRI,Reference,87,K3,0.99998
YRI,Reference,88,K1,1e-05
YRI,Reference,88,K2,1e-05
YRI,Reference,88,K3,0.99998
YRI,Reference,89,K1,1e-05
YRI,Reference,89,K2,1e-05
YRI,Reference,89,K3,0.99998
YRI,Reference,90,K1,1e-05
YRI,Reference,90,K2,1e-05
YRI,Reference,90,K3,0.99998
YRI,Reference,91,K1,1e-05
YRI,Reference,91,K2,1e-05
YRI,Reference,91,K3,0.99998
YRI,Reference,92,K1,1e-05
YRI,Reference,92,K2,1e-05
YRI,Reference,92,K3,0.99998
YRI,Reference,93,K1,1e-05
YRI,Reference,93,K2,1e-05
YRI,Reference,93,K3,0.99998
YRI,Reference,94,K1,1e-05
YRI,Reference,94,K2,1e-05
YRI,Reference,94,K3,0.99998
YRI,Reference,95,K1,1e-05
YRI,Reference,95,K2,1e-05
YRI,Reference,95,K3,0.99998
YRI,Reference,96,K1,1e-05
YRI,Reference,96,K2,1e-05
YRI,Reference,96,K3,0.99998
YRI,Reference,97,K1,1e-05
YRI,Reference,97,K2,1e-05
YRI,Reference,97,K3,0.99998
YRI,Reference,98,K1,1e-05
YRI,Reference,98,K2,1e-05
YRI,Reference,98,K3,0.99998
YRI,Reference,99,K1,1e-05
YRI,Reference,99,K2,1e-05
YRI,Reference,99,K3,0.99998
YRI,Reference,100,K1,1e-05
YRI,Reference,100,K2,1e-05
YRI,Reference,100,K3,0.99998
YRI,Reference,101,K1,1e-05
YRI,Reference,101,K2,1e-05
YRI,Reference,101,K3,0.99998
YRI,Reference,102,K1,1e-05
YRI,Reference,102,K2,1e-05
YRI,Reference,102,K3,0.99998
YRI,Reference,103,K1,1e-05
YRI,Reference,103,K2,1e-05
YRI,Reference,103,K3,0.99998
YRI,Reference,104,K1,1e-05
YRI,Reference,104,K2,1e-05
YRI,Reference,104,K3,0.99998
YRI,Reference,105,K1,1e-05
YRI,Reference,105,K2,1e-05
YRI,Reference,105,K3,0.99998
YRI,Reference,106,K1,1e-05
YRI,Reference,106,K2,1e-05
YRI,Reference,106,K3,0.99998
YRI,Reference,107,K1,1e-05
YRI,Reference,107,K2,1e-05
YRI,Reference,107,K3,0.99998
YRI,Reference,108,K1,1e-05
YRI,Reference,108,K2,1e-05
YRI,Reference,108,K3,0.99998
YRI,Reference,109,K1,1e-05
YRI,Reference,109,K2,1e-05
YRI,Reference,109,K3,0.99998
YRI,Reference,110,K1,1e-05
YRI,Reference,110,K2,1e-05
YRI,Reference,110,K3,0.99998
YRI,Reference,111,K1,1e-05
YRI,Reference,111,K2,1e-05
YRI,Reference,111,K3,0.99998
YRI,Reference,112,K1,1e-05
YRI,Reference,112,K2,1e-05
YRI,Reference,112,K3,0.99998
YRI,Reference,113,K1,1e-05
YRI,Reference,113,K2,1e-05
YRI,Reference,113,K3,0.99998
YRI,Reference,114,K1,1e-05
YRI,Reference,114,K2,1e-05
YRI,Reference,114,K3,0.99998
YRI,Reference,115,K1,1e-05
YRI,Reference,115,K2,1e-05
YRI,Reference,115,K3,0.99998
YRI,Reference,116,K1,1e-05
YRI,Reference,116,K2,1e-05
YRI,Reference,116,K3,0.99998
YRI,Reference,117,K1,1e-05
YRI,Reference,117,K2,1e-05
YRI,Reference,117,K3,0.99998
YRI,Reference,118,K1,1e-05
YRI,Reference,118,K2,1e-05
YRI,Reference,118,K3,0.99998
YRI,Reference,119,K1,1e-05
YRI,Reference,119,K2,1e-05
YRI,Reference,119,K3,0.99998
YRI,Reference,120,K1,1e-05
YRI,Reference,120,K2,1e-05
YRI,Reference,120,K3,0.99998
YRI,Reference,121,K1,1e-05
YRI,Reference,121,K2,1e-05
YRI,Reference,121,K3,0.99998
YRI,Reference,122,K1,1e-05
YRI,Reference,122,K2,1e-05
YRI,Reference,122,K3,0.99998
YRI,Reference,123,K1,1e-05
YRI,Reference,123,K2,1e-05
YRI,Reference,123,K3,0.99998
YRI,Reference,124,K1,1e-05
YRI,Reference,124,K2,1e-05
YRI,Reference,124,K3,0.99998
YRI,Reference,125,K1,1e-05
YRI,Reference,125,K2,1e-05
YRI,Reference,125,K3,0.99998
YRI,Reference,126,K1,1e-05
YRI,Reference,126,K2,1e-05
YRI,Reference,126,K3,0.99998
YRI,Reference,127,K1,1e-05
YRI,Reference,127,K2,1e-05
YRI,Reference,127,K3,0.99998
YRI,Reference,128,K1,1e-05
YRI,Reference,128,K2,1e-05
YRI,Reference,128,K3,0.99998
YRI,Reference,129,K1,1e-05
YRI,Reference,129,K2,1e-05
YRI,Reference,129,K3,0.99998
YRI,Reference,130,K1,1e-05
YRI,Reference,130,K2,1e-05
YRI,Reference,130,K3,0.99998
YRI,Reference,131,K1,1e-05
YRI,Reference,131,K2,1e-05
YRI,Reference,131,K3,0.99998
YRI,Reference,132,K1,1e-05
YRI,Reference,132,K2,1e-05
YRI,Reference,132,K3,0.99998
YRI,Reference,133,K1,1e-05
YRI,Reference,133,K2,1e-05
YRI,Reference,133,K3,0.99998
YRI,Reference,134,K1,1e-05
YRI,Reference,134,K2,1e-05
YRI,Reference,134,K3,0.99998
YRI,Reference,135,K1,1e-05
YRI,Reference,135,K2,1e-05
YRI,Reference,135,K3,0.99998
YRI,Reference,136,K1,1e-05
YRI,Reference,136,K2,1e-05
YRI,Reference,136,K3,0.99998
YRI,Reference,137,K1,1e-05
YRI,Reference,137,K2,1e-05
YRI,Reference,137,K3,0.99998
YRI,Reference,138,K1,1e-05
YRI,Reference,138,K2,1e-05
YRI,Reference,138,K3,0.99998
YRI,Reference,139,K1,1e-05
YRI,Reference,139,K2,1e-05
YRI,Reference,139,K3,0.99998
YRI,Reference,140,K1,1e-05
YRI,Reference,140,K2,1e-05
YRI,Reference,140,K3,0.99998
YRI,Reference,141,K1,1e-05
YRI,Reference,141,K2,1e-05
YRI,Reference,141,K3,0.99998
YRI,Reference,142,K1,1e-05
YRI,Reference,142,K2,1e-05
YRI,Reference,142,K3,0.99998
YRI,Reference,143,K1,1e-05
YRI,Reference,143,K2,1e-05
YRI,Reference,143,K3,0.99998
YRI,Reference,144,K1,1e-05
YRI,Reference,144,K2,1e-05
YRI,Reference,144,K3,0.99998
YRI,Reference,145,K1,1e-05
YRI,Reference,145,K2,1e-05
YRI,Reference,145,K3,0.99998
YRI,Reference,146,K1,1e-05
YRI,Reference,146,K2,1e-05
YRI,Reference,146,K3,0.99998
YRI,Reference,147,K1,1e-05
YRI,Reference,147,K2,1e-05
YRI,Reference,147,K3,0.99998
YRI,Reference,148,K1,1e-05
YRI,Reference,148,K2,1e-05
YRI,Reference,148,K3,0.99998
YRI,Reference,149,K1,1e-05
YRI,Reference,149,K2,1e-05
YRI,Reference,149,K3,0.99998
YRI,Reference,150,K1,1e-05
YRI,Reference,150,K2,1e-05
YRI,Reference,150,K3,0.99998
YRI,Reference,151,K1,1e-05
YRI,Reference,151,K2,1e-05
YRI,Reference,151,K3,0.99998
YRI,Reference,152,K1,1e-05
YRI,Reference,152,K2,1e-05
YRI,Reference,152,K3,0.99998
YRI,Reference,153,K1,1e-05
YRI,Reference,153,K2,1e-05
YRI,Reference,153,K3,0.99998
YRI,Reference,154,K1,1e-05
YRI,Reference,154,K2,1e-05
YRI,Reference,154,K3,0.99998
YRI,Reference,155,K1,1e-05
YRI,Reference,155,K2,1e-05
YRI,Reference,155,K3,0.99998
YRI,Reference,156,K1,1e-05
