coh,type,stat,value
CLM,Delta.anc.YRI,var,0.00157594117647059
CLM,Delta.anc.NAM,mean,0.163028571428571
CLM,Delta.anc.NAM,var,0.0162837932773109
CLM,Delta.anc.NonYRI.2way,mean,0.0945142857142857
CLM,Delta.anc.NonYRI.2way,var,0.00919272773109244
CLM,Delta.anc.YRI.2way,mean,0.0945142857142857
CLM,Delta.anc.YRI.2way,var,0.00919272773109244
CLM,Delta.sex,mean,1
CLM,Delta.sex,var,0
CLM,Delta.adm.NAM,mean,0.0841203428571429
CLM,Delta.adm.NAM,var,0.00699744284082017
CLM,Delta.adm.IBS,mean,0.129555085714286
CLM,Delta.adm.IBS,var,0.0114635721665513
CLM,Delta.adm.YRI,mean,0.0793544285714286
CLM,Delta.adm.YRI,var,0.00773500547619328
CLM,Delta.adm.NonYRI,mean,0.0793544
CLM,Delta.adm.NonYRI,var,0.00773502664695294
CLM,Delta.rfm.NAM,mean,0.0829181466889923
CLM,Delta.rfm.NAM,var,0.00649506847830056
CLM,Delta.rfm.IBS,mean,0.12528597281855
CLM,Delta.rfm.IBS,var,0.010765258552522
CLM,Delta.rfm.YRI,mean,0.0757246525744403
CLM,Delta.rfm.YRI,var,0.00697103759972024
CLM,Mean.anc.IBS,mean,0.649714285714286
CLM,Mean.anc.IBS,var,0.0115360336134454
CLM,Mean.anc.YRI,mean,0.156128571428571
CLM,Mean.anc.YRI,var,0.0283433138655462
CLM,Mean.anc.NAM,mean,0.194171428571429
CLM,Mean.anc.NAM,var,0.0150045432773109
CLM,Mean.anc.NonYRI.2way,mean,0.914714285714286
CLM,Mean.anc.NonYRI.2way,var,0.00355172478991596
CLM,Mean.anc.YRI.2way,mean,0.0852857142857143
CLM,Mean.anc.YRI.2way,var,0.00355172478991597
CLM,Mean.sex,mean,1.5
CLM,Mean.sex,var,0
CLM,Mean.adm.NAM,mean,0.266733485714286
CLM,Mean.adm.NAM,var,0.00605903597002185
CLM,Mean.adm.IBS,mean,0.666172057142857
CLM,Mean.adm.IBS,var,0.0123777131871731
CLM,Mean.adm.YRI,mean,0.0670944428571429
CLM,Mean.adm.YRI,var,0.00363399126624664
CLM,Mean.adm.NonYRI,mean,0.932905542857143
CLM,Mean.adm.NonYRI,var,0.00363399310677017
CLM,Mean.rfm.NAM,mean,0.261579188401378
CLM,Mean.rfm.NAM,var,0.00557066608095985
CLM,Mean.rfm.IBS,mean,0.662168586409634
CLM,Mean.rfm.IBS,var,0.0111279544052371
CLM,Mean.rfm.YRI,mean,0.0762522251889882
CLM,Mean.rfm.YRI,var,0.00321494588168586
MXL,Delta.anc.IBS,mean,0.25921875
MXL,Delta.anc.IBS,var,0.0301390151209677
MXL,Delta.anc.YRI,mean,0.03225
MXL,Delta.anc.YRI,var,0.000923870967741936
MXL,Delta.anc.NAM,mean,0.262375
MXL,Delta.anc.NAM,var,0.0347933387096774
MXL,Delta.anc.NonYRI.2way,mean,0.06584375
MXL,Delta.anc.NonYRI.2way,var,0.00810136189516129
MXL,Delta.anc.YRI.2way,mean,0.06584375
MXL,Delta.anc.YRI.2way,var,0.00810136189516129
MXL,Delta.sex,mean,1
MXL,Delta.sex,var,0
MXL,Delta.adm.NAM,mean,0.11838834375
MXL,Delta.adm.NAM,var,0.00799524473726512
MXL,Delta.adm.IBS,mean,0.12730934375
MXL,Delta.adm.IBS,var,0.00774588706816835
MXL,Delta.adm.YRI,mean,0.01976353125
MXL,Delta.adm.YRI,var,0.000272067643998992
MXL,Delta.adm.NonYRI,mean,0.0197634375
MXL,Delta.adm.NonYRI,var,0.000272068637737903
MXL,Delta.rfm.NAM,mean,0.120034954483593
MXL,Delta.rfm.NAM,var,0.00744246663898612
MXL,Delta.rfm.IBS,mean,0.12790280760895
MXL,Delta.rfm.IBS,var,0.00777873919547233
MXL,Delta.rfm.YRI,mean,0.0196532768560689
MXL,Delta.rfm.YRI,var,0.000198799245003968
MXL,Mean.anc.IBS,mean,0.519328125
MXL,Mean.anc.IBS,var,0.0335309291834677
MXL,Mean.anc.YRI,mean,0.11421875
MXL,Mean.anc.YRI,var,0.0209228054435484
MXL,Mean.anc.NAM,mean,0.3665
MXL,Mean.anc.NAM,var,0.0587783387096774
MXL,Mean.anc.NonYRI.2way,mean,0.942484375
MXL,Mean.anc.NonYRI.2way,var,0.00170913684475806
MXL,Mean.anc.YRI.2way,mean,0.057515625
MXL,Mean.anc.YRI.2way,var,0.00170913684475806
MXL,Mean.sex,mean,1.5
MXL,Mean.sex,var,0
MXL,Mean.adm.NAM,mean,0.477515234375
MXL,Mean.adm.NAM,var,0.0396627358664514
MXL,Mean.adm.IBS,mean,0.490252421875
