coh,id,adm.NAM,adm.IBS,adm.YRI,p1,p2,sex,rfm.NAM,rfm.IBS,rfm.YRI,P1.anc.NAM,P1.anc.IBS,P1.anc.YRI,P2.anc.NAM,P2.anc.IBS,P2.anc.YRI.2,P1.anc.NonYRI.2way,P1.anc.YRI.2way,P2.anc.NonYRI.2way,P2.anc.YRI.2way,adm.NonYRI,P1.sex,P1.adm.NAM,P1.adm.IBS,P1.adm.YRI,P1.adm.NonYRI,P1.rfm.NAM,P1.rfm.IBS,P1.rfm.YRI,P2.sex,P2.adm.NAM,P2.adm.IBS,P2.adm.YRI,P2.adm.NonYRI,P2.rfm.NAM,P2.rfm.IBS,P2.rfm.YRI,P1.anc.NonYRI.2way.rand,P2.anc.NonYRI.2way.rand,P1.anc.YRI.2way.rand,P2.anc.YRI.2way.rand
PEL,HG01969,0.811595,0.188395,1e-05,HG01967,HG01968,2,0.766567508123829,0.226325163984414,0.00710732789175678,0.604,0.386,0.01,0.929,0.064,0.007,0.992,0.008,0.98,0.02,0.99999,1,0.648655,0.351335,1e-05,0.99999,0.618926925158179,0.371733115310951,0.00933995953087018,2,0.99998,1e-05,1e-05,0.99999,0.930192593803281,0.0645464833676031,0.00526092282911635,0.98,0.992,0.02,0.008
PEL,HG01972,0.615249,0.277643,0.107108,HG01970,HG01971,2,0.582633531091592,0.307334907096434,0.110031561811975,0.521,0.479,0,0.526,0.474,0,0.795,0.205,0.972,0.028,0.892892,1,0.68252,0.31747,1e-05,0.99999,0.655777122536473,0.339686157590597,0.00453671987293038,2,0.583301,0.255867,0.160832,0.839168,0.569437758950074,0.273376725467344,0.157185515582581,0.795,0.972,0.028,0.205
PEL,HG01975,0.950924,0.049066,1e-05,HG01974,HG01973,2,0.870995174392185,0.0972237989992785,0.0317810266085367,0.92,0.044,0.037,0.76,0.215,0.025,0.96,0.04,0.938,0.062,0.99999,1,0.99998,1e-05,1e-05,0.99999,0.929875501882257,0.0615181407332238,0.00860635738451938,2,0.835563,0.150151,0.014286,0.985714,0.78181358662654,0.180024406828434,0.0381620065450263,0.96,0.938,0.04,0.062
PEL,HG01978,0.781288,0.218702,1e-05,HG01977,HG01976,2,0.746131509109721,0.24667592518524,0.00719256570503867,0.582,0.412,0.005,0.89,0.104,0.006,0.972,0.028,0.997,0.003,0.99999,1,0.80786,0.19213,1e-05,0.99999,0.766375827445767,0.224619870133945,0.00900430242028823,2,0.69774,0.30225,1e-05,0.99999,0.660592573914493,0.327721451510148,0.011685974575359,0.997,0.972,0.003,0.028
PEL,HG01981,0.729347,0.270643,1e-05,HG01979,HG01980,2,0.685428564863832,0.292489015465045,0.022082419671123,0.583,0.417,0,0.488,0.512,0,0.937,0.063,0.982,0.018,0.99999,1,0.712616,0.287374,1e-05,0.99999,0.687367908197451,0.29905162110714,0.0135804706954085,2,0.749602,0.240736,0.009662,0.990338,0.715578138280726,0.254453986635339,0.0299678750839346,0.937,0.982,0.018,0.063
PEL,HG01984,0.749567,0.250423,1e-05,HG01982,HG01983,1,0.705352999931917,0.288209315078289,0.006437684989794,0.595,0.391,0.013,0.861,0.139,0.001,0.796,0.204,1,0,0.99999,1,0.781818,0.218172,1e-05,0.99999,0.749780676425065,0.242075170236419,0.0081441533385158,2,0.709343,0.290647,1e-05,0.99999,0.667851040933627,0.326891021435148,0.0052579376312249,1,0.796,0.204,0
PEL,HG01993,0.854508,0.145482,1e-05,HG01991,HG01992,2,0.80263146703641,0.188386168098636,0.00898236486495464,0.612,0.372,0.015,0.958,0.041,0.001,0.982,0.018,0.988,0.012,0.99999,1,0.765858,0.232176,0.001965,0.998034,0.728126927967006,0.249321467723422,0.0225516043095722,2,0.92736,0.07263,1e-05,0.99999,0.877276093414688,0.119694987738317,0.00302891884699551,0.982,0.988,0.012,0.018
PEL,HG01998,0.90646,0.09353,1e-05,HG02008,HG01997,1,0.850586417222425,0.14072050583933,0.00869307693824541,0.884,0.112,0.004,0.788,0.192,0.02,0.948,0.052,0.967,0.033,0.99999,1,0.861048,0.138942,1e-05,0.99999,0.819155713643914,0.166641155714938,0.0142031306411473,2,0.908188,0.091802,1e-05,0.99999,0.853790896144844,0.140460693226136,0.00574841062902021,0.967,0.948,0.052,0.033
PEL,HG02004,0.840549,0.159441,1e-05,HG02002,HG02003,2,0.777658383410523,0.215895600458853,0.00644601613062379,0.851,0.149,0,0.734,0.245,0.02,0.932,0.068,0.998,0.002,0.99999,1,0.794099,0.205891,1e-05,0.99999,0.745702525314218,0.24657296344926,0.00772451123652197,2,0.825801,0.174189,1e-05,0.99999,0.77717147840954,0.215534937287198,0.00729358430326228,0.998,0.932,0.068,0.002
PEL,HG02091,0.597718,0.329265,0.073018,HG02090,HG02089,2,0.578304126714922,0.341812455483971,0.0798834178011068,0.478,0.464,0.059,0.627,0.229,0.144,0.957,0.043,0.884,0.116,0.926983,1,0.564228,0.31833,0.117442,0.882558,0.54541273430067,0.334922358858502,0.119664906840828,2,0.673904,0.317354,0.008742,0.991258,0.649833845060216,0.326329953402446,0.023836201537338,0.957,0.884,0.116,0.043
