Population,name_of_P1,name_of_P2,R,CIL,CIU,N,R_type
ACB,P1.anc.YRI.2way.rand.17,P2.anc.YRI.2way.rand.17,-0.149827604562903,-0.555516618970601,0.313477295558575,20,pearson
ACB,P1.anc.YRI.2way.rand.18,P2.anc.YRI.2way.rand.18,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.18,P2.anc.YRI.2way.rand.18,-0.177586377576558,-0.574926203054744,0.287530152127439,20,pearson
ACB,P1.anc.YRI.2way.rand.19,P2.anc.YRI.2way.rand.19,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.19,P2.anc.YRI.2way.rand.19,-0.196059350761088,-0.58759977800653,0.269875960760858,20,pearson
ACB,P1.anc.YRI.2way.rand.20,P2.anc.YRI.2way.rand.20,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.20,P2.anc.YRI.2way.rand.20,-0.22215651184353,-0.605182485641656,0.244389973243125,20,pearson
ACB,P1.anc.YRI.2way.rand.21,P2.anc.YRI.2way.rand.21,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.21,P2.anc.YRI.2way.rand.21,-0.233157043750585,-0.612483695285154,0.233450413775765,20,pearson
ACB,P1.anc.YRI.2way.rand.22,P2.anc.YRI.2way.rand.22,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.22,P2.anc.YRI.2way.rand.22,-0.224865533336357,-0.606986501932716,0.241706944048984,20,pearson
ACB,P1.anc.YRI.2way.rand.23,P2.anc.YRI.2way.rand.23,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.23,P2.anc.YRI.2way.rand.23,-0.214513154117408,-0.600071255031061,0.251921678487746,20,pearson
ACB,P1.anc.YRI.2way.rand.24,P2.anc.YRI.2way.rand.24,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.24,P2.anc.YRI.2way.rand.24,-0.208672977449797,-0.596144506557861,0.257638711923795,20,pearson
ACB,P1.anc.YRI.2way.rand.25,P2.anc.YRI.2way.rand.25,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.25,P2.anc.YRI.2way.rand.25,-0.242105478466297,-0.618375542150056,0.224463593657969,20,pearson
ACB,P1.anc.YRI.2way.rand.26,P2.anc.YRI.2way.rand.26,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.26,P2.anc.YRI.2way.rand.26,-0.221824469398357,-0.604961097943508,0.244718339110598,20,pearson
ACB,P1.anc.YRI.2way.rand.27,P2.anc.YRI.2way.rand.27,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.27,P2.anc.YRI.2way.rand.27,-0.223539549784079,-0.606103982652556,0.243021097143991,20,pearson
ACB,P1.anc.YRI.2way.rand.28,P2.anc.YRI.2way.rand.28,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.28,P2.anc.YRI.2way.rand.28,-0.199466030556198,-0.589916172323544,0.266585702049316,20,pearson
ACB,P1.anc.YRI.2way.rand.29,P2.anc.YRI.2way.rand.29,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.29,P2.anc.YRI.2way.rand.29,-0.211637828735104,-0.598140297241631,0.254740450605404,20,pearson
ACB,P1.anc.YRI.2way.rand.30,P2.anc.YRI.2way.rand.30,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.30,P2.anc.YRI.2way.rand.30,-0.251978746609222,-0.624827606607475,0.214455021104649,20,pearson
ACB,P1.anc.YRI.2way.rand.31,P2.anc.YRI.2way.rand.31,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.31,P2.anc.YRI.2way.rand.31,-0.250038976709303,-0.623563996737153,0.216429136054588,20,pearson
ACB,P1.anc.YRI.2way.rand.32,P2.anc.YRI.2way.rand.32,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.32,P2.anc.YRI.2way.rand.32,-0.11045391971864,-0.52720585252233,0.349131779655281,20,pearson
ACB,P1.anc.YRI.2way.rand.33,P2.anc.YRI.2way.rand.33,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.33,P2.anc.YRI.2way.rand.33,-0.221262893485259,-0.604586535052279,0.245273453460238,20,pearson
ACB,P1.anc.YRI.2way.rand.34,P2.anc.YRI.2way.rand.34,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.34,P2.anc.YRI.2way.rand.34,-0.225842463561498,-0.60763610348486,0.240737633764748,20,pearson
ACB,P1.anc.YRI.2way.rand.35,P2.anc.YRI.2way.rand.35,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.35,P2.anc.YRI.2way.rand.35,-0.233741902916595,-0.612870071083722,0.232865470465225,20,pearson
ACB,P1.anc.YRI.2way.rand.36,P2.anc.YRI.2way.rand.36,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.36,P2.anc.YRI.2way.rand.36,-0.218466624302206,-0.60271893751594,0.248033001638541,20,pearson
ACB,P1.anc.YRI.2way.rand.37,P2.anc.YRI.2way.rand.37,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.37,P2.anc.YRI.2way.rand.37,-0.219501628482879,-0.603410696535048,0.247012471011209,20,pearson
ACB,P1.anc.YRI.2way.rand.38,P2.anc.YRI.2way.rand.38,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.38,P2.anc.YRI.2way.rand.38,-0.253970529518055,-0.62612306962359,0.212423999035197,20,pearson
ACB,P1.anc.YRI.2way.rand.39,P2.anc.YRI.2way.rand.39,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.39,P2.anc.YRI.2way.rand.39,-0.199755381095351,-0.59011262246766,0.266305738476228,20,pearson
ACB,P1.anc.YRI.2way.rand.40,P2.anc.YRI.2way.rand.40,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.40,P2.anc.YRI.2way.rand.40,-0.222579275828855,-0.605464275779509,0.243971735455585,20,pearson
ACB,P1.anc.YRI.2way.rand.41,P2.anc.YRI.2way.rand.41,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.41,P2.anc.YRI.2way.rand.41,-0.214029303489217,-0.599746633704367,0.252396567006506,20,pearson
ACB,P1.anc.YRI.2way.rand.42,P2.anc.YRI.2way.rand.42,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.42,P2.anc.YRI.2way.rand.42,-0.223531930605447,-0.606098908922169,0.243028643398612,20,pearson
ACB,P1.anc.YRI.2way.rand.43,P2.anc.YRI.2way.rand.43,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.43,P2.anc.YRI.2way.rand.43,-0.192066700632878,-0.584876756340418,0.273718365194388,20,pearson
ACB,P1.anc.YRI.2way.rand.44,P2.anc.YRI.2way.rand.44,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.44,P2.anc.YRI.2way.rand.44,-0.222059457383162,-0.605117781175504,0.244485964125249,20,pearson
ACB,P1.anc.YRI.2way.rand.45,P2.anc.YRI.2way.rand.45,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.45,P2.anc.YRI.2way.rand.45,-0.211839541232504,-0.598275906119304,0.254542963643878,20,pearson
ACB,P1.anc.YRI.2way.rand.46,P2.anc.YRI.2way.rand.46,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.46,P2.anc.YRI.2way.rand.46,-0.179199446745903,-0.576040515909823,0.286001071461802,20,pearson
